Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,discount_ratio,weight_per_purchase,rating_x_calls,Product_importance_num,important_discount,log_cost,log_weight,calls_bin,rating_bin
A,Ship,5,4,134,2,low,F,20,1549,1,0.14925372020494626,516.3333333333334,20,1,20,4.90527477843843,7.346010209913293,High,Neutral
A,Ship,5,2,239,5,low,M,1,1518,1,0.004184100243343086,253.0,10,1,1,5.480638923341991,7.325807502595773,High,Bad
F,Flight,5,4,142,2,high,M,7,5341,0,0.04929577117635414,1780.3333333333333,20,3,21,4.962844630259907,8.583355393669907,High,Neutral
F,Ship,4,4,217,5,medium,F,4,1503,0,0.018433178874047055,250.5,16,2,8,5.384495062789089,7.315883504509785,Medium,Neutral
F,Ship,6,3,272,4,low,M,5,1355,1,0.018382352265354698,271.0,18,1,5,5.60947179518496,7.212294468500341,High,Neutral
A,Ship,2,5,139,3,low,F,27,1233,1,0.1942445903421158,308.25,10,1,27,4.941642422609304,7.1180162044653335,Low,Good
A,Ship,5,5,218,5,medium,F,7,1692,0,0.032110090270179345,282.0,25,2,14,5.389071729816501,7.4342573821331355,High,Good
A,Flight,4,3,169,6,medium,M,3,5957,1,0.0177514782395575,851.0,12,2,6,5.135798437050262,8.692490133273228,Medium,Neutral
F,Ship,3,3,259,8,high,F,6,5939,0,0.023166022271582154,659.8888888888889,9,3,18,5.560681631015528,8.68946441235669,Medium,Neutral
B,Road,4,4,97,6,low,M,4,5801,0,0.04123710915081349,828.7142857142857,16,1,4,4.584967478670572,8.665957964681349,Medium,Neutral
B,Flight,5,5,142,4,medium,M,8,5372,0,0.05633802420154759,1074.4,25,2,16,4.962844630259907,8.589141690728821,High,Good
C,Flight,4,5,210,2,medium,M,5,5683,0,0.023809522675737015,1894.3333333333333,20,2,10,5.351858133476067,8.64541048921699,Medium,Good
F,Ship,6,4,268,4,medium,F,3,1586,0,0.011194029433058604,317.2,24,2,6,5.594711379601839,7.369600720526409,High,Neutral
F,Flight,6,2,250,4,medium,F,3,1777,1,0.01199999952000002,355.4,12,2,6,5.5254529391317835,7.48324441607385,High,Bad
D,Ship,6,4,256,4,high,M,2,5021,0,0.007812499694824232,1004.2,24,3,6,5.54907608489522,8.52158353971753,High,Neutral
F,Flight,6,1,201,4,low,F,5,4592,1,0.024875620652954195,918.4,6,1,5,5.308267697401205,8.432288684325794,High,Bad
D,Ship,4,1,258,3,low,F,10,4906,0,0.03875968842016712,1226.5,4,1,10,5.556828061699537,8.498418036089904,Medium,Bad
D,Flight,3,4,271,3,medium,M,1,4444,1,0.0036900367642052857,1111.0,12,2,2,5.605802066295998,8.399535147948004,Medium,Neutral
F,Ship,3,4,257,5,medium,F,5,5365,0,0.019455252161274236,894.1666666666666,12,2,10,5.552959584921617,8.58783803098557,Medium,Neutral
F,Ship,4,2,225,8,low,F,8,5623,0,0.03555555397530871,624.7777777777778,8,1,8,5.420534999272286,8.6347984334905,Medium,Bad
B,Ship,3,2,137,3,medium,F,9,1347,1,0.06569342586179373,336.75,6,2,18,4.927253685157205,7.206377291472252,Medium,Bad
D,Ship,4,4,175,2,medium,F,10,4927,0,0.057142853877551206,1642.3333333333333,16,2,20,5.170483995038151,8.502688505213357,Medium,Neutral
C,Ship,3,5,239,6,low,F,8,5791,1,0.033472801946744686,827.2857142857143,15,1,8,5.480638923341991,8.664232934065552,Medium,Good
D,Flight,4,3,247,4,low,F,19,3838,1,0.07692307380878244,767.6,12,1,19,5.5134287461649825,8.252967195000798,Medium,Neutral
D,Ship,4,4,213,3,low,F,1,4266,0,0.004694835460336363,1066.5,16,1,1,5.365976015021851,8.358666283188,Medium,Neutral
F,Ship,3,1,150,2,medium,F,46,1431,1,0.30666664622222356,477.0,3,2,92,5.017279836814924,7.266827347520591,Medium,Bad
A,Ship,2,5,231,2,low,F,10,4406,1,0.04329004141601552,1468.6666666666667,10,1,10,5.44673737166631,8.390949464841986,Low,Good
F,Road,3,3,183,3,low,F,45,2181,1,0.24590162590701498,545.25,9,1,45,5.214935757608986,7.687997166393016,Medium,Neutral
A,Ship,4,2,272,2,low,F,1,5939,1,0.0036764704530709395,1979.6666666666667,8,1,1,5.60947179518496,8.68946441235669,Medium,Bad
B,Flight,5,4,242,3,high,F,2,3564,1,0.008264462468410642,891.0,20,3,6,5.493061443340548,8.178919332848396,High,Neutral
D,Ship,4,4,279,5,medium,F,56,2697,1,0.2007168386839843,449.5,16,2,112,5.634789603169249,7.900266036767701,Medium,Neutral
F,Ship,2,4,268,4,low,M,5,4400,1,0.01865671572176434,880.0,8,1,5,5.594711379601839,8.38958706681109,Low,Neutral
D,Ship,5,1,151,4,low,M,5,4549,0,0.03311258058857082,909.8,5,1,5,5.0238805208462765,8.422882511944996,High,Bad
A,Ship,3,1,133,3,medium,M,7,4004,1,0.05263157499010714,1001.0,3,2,14,4.897839799950911,8.29529885950246,Medium,Bad
F,Ship,5,4,156,2,low,F,57,1842,1,0.36538459196252615,614.0,20,1,57,5.056245805348308,7.519149957669823,High,Neutral
F,Ship,4,2,229,4,low,M,8,5385,0,0.03493449629107003,1077.0,8,1,8,5.438079308923196,8.591558273371545,Medium,Bad
F,Ship,4,3,220,3,medium,M,8,3342,1,0.03636363471074388,835.5,12,2,16,5.3981627015177525,8.114623886420098,Medium,Neutral
A,Ship,3,5,216,4,low,F,3,4934,0,0.013888888245884802,986.8,15,1,3,5.37989735354046,8.504107951867582,Medium,Good
F,Ship,4,1,263,5,low,F,62,2292,1,0.2357414359033675,382.0,4,1,62,5.575949103146316,7.737616282857904,Medium,Bad
F,Ship,2,2,206,5,low,F,7,5203,0,0.033980580874729084,867.1666666666666,4,1,7,5.332718793265369,8.557182839632397,Low,Bad
C,Ship,3,1,140,3,medium,F,65,1291,1,0.46428568112245133,322.75,3,2,130,4.948759890378168,7.163946684342547,Medium,Bad
B,Ship,3,3,104,5,low,F,5,4643,0,0.048076918454142456,773.8333333333334,9,1,5,4.653960350157523,8.443331342817782,Medium,Neutral
D,Flight,3,1,184,5,medium,F,58,2544,1,0.3152173741729688,424.0,3,2,116,5.220355825078324,7.841885928984623,Medium,Bad
D,Ship,4,1,133,4,medium,M,64,1834,1,0.48120297133812245,366.8,4,2,128,4.897839799950911,7.51479976048867,Medium,Bad
B,Ship,5,3,201,2,low,M,4,3757,1,0.019900496522363358,1252.3333333333333,15,1,4,5.308267697401205,8.231642179973411,High,Neutral
F,Ship,6,1,257,4,medium,F,3,5656,1,0.011673151296764541,1131.2,6,2,6,5.552959584921617,8.640648995343156,High,Bad
B,Ship,4,4,181,3,low,M,44,2070,1,0.24309390922133098,517.5,16,1,44,5.204006687076795,7.635786861395585,Medium,Neutral
B,Ship,5,1,155,2,medium,F,40,1024,1,0.2580644994797097,341.3333333333333,5,2,80,5.049856007249537,6.932447891572509,High,Bad
B,Ship,3,4,211,3,medium,M,8,3710,1,0.037914690146223215,927.5,12,2,16,5.356586274672012,8.219056661060598,Medium,Neutral
A,Ship,5,3,221,5,low,F,8,1109,0,0.036199093384656406,184.83333333333334,15,1,8,5.402677381872279,7.01211529430638,High,Neutral
A,Road,5,4,171,4,low,M,7,5359,1,0.040935670120721045,1071.8,20,1,7,5.147494476813453,8.586719254064848,High,Neutral
F,Ship,3,3,240,3,low,F,4,5056,1,0.01666666597222225,1264.0,9,1,4,5.484796933490655,8.528528701079983,Medium,Neutral
A,Ship,3,3,203,3,medium,F,4,5548,0,0.019704432526875246,1387.0,9,2,8,5.318119993844216,8.621373010325902,Medium,Neutral
A,Ship,3,2,259,8,high,M,3,4390,1,0.011583011135791077,487.77777777777777,6,3,9,5.560681631015528,8.387312270561717,Medium,Bad
C,Flight,4,5,157,3,medium,M,10,5898,1,0.0636942634589641,1474.5,20,2,20,5.062595033026967,8.682538124003075,Medium,Good
D,Ship,3,4,236,3,medium,M,1,5851,0,0.00423728795604712,1462.75,12,2,2,5.4680601411351315,8.674538762140015,Medium,Neutral
A,Ship,3,3,274,3,low,M,6,2986,1,0.02189780941978798,746.5,9,1,6,5.616771097666572,8.00202481821611,Medium,Neutral
F,Road,3,1,267,3,medium,F,8,5415,1,0.02996254569428668,1353.75,3,2,16,5.5909869805108565,8.59711281459211,Medium,Bad
A,Ship,3,3,269,3,high,F,6,4260,1,0.02230483188457874,1065.0,9,3,18,5.598421958998375,8.357259153499912,Medium,Neutral
F,Ship,5,2,233,3,low,F,5,5756,1,0.02145922654681431,1439.0,10,1,5,5.455321115357702,8.65817178467581,High,Bad
C,Ship,6,2,146,3,low,F,62,1936,1,0.42465750516044487,484.0,12,1,62,4.990432586778736,7.5688956634069955,High,Bad
B,Ship,3,3,162,2,medium,M,5,1202,1,0.030864195625666935,400.6666666666667,9,2,10,5.093750200806762,7.0925737159746784,Medium,Neutral
F,Road,5,4,229,2,medium,F,10,5001,0,0.04366812036383754,1667.0,20,2,20,5.438079308923196,8.517593111437565,High,Neutral
F,Flight,7,5,308,5,medium,M,6,1154,0,0.019480518848035103,192.33333333333334,35,2,12,5.733341276897746,7.051855622955894,High,Good
F,Ship,3,1,200,2,medium,M,8,4337,0,0.0399999980000001,1445.6666666666667,3,2,16,5.303304908059076,8.37516869138682,Medium,Bad
F,Ship,4,3,154,3,medium,F,4,4867,1,0.02597402428740102,1216.75,12,2,8,5.043425116919247,8.490438454107418,Medium,Neutral
A,Ship,4,4,247,2,medium,M,9,5095,0,0.03643724548837063,1698.3333333333333,16,2,18,5.5134287461649825,8.536211197252,Medium,Neutral
D,Ship,4,4,140,3,medium,M,11,1911,1,0.07857142295918407,477.75,16,2,22,4.948759890378168,7.555905093611346,Medium,Neutral
B,Ship,3,2,198,4,low,F,3,4172,1,0.015151514386287151,834.4,6,1,3,5.293304824724492,8.336390480591552,Medium,Bad
C,Ship,5,2,141,3,high,F,34,1020,1,0.2411347346712954,255.0,10,3,102,4.955827057601261,6.928537818164665,High,Bad
B,Ship,3,3,156,7,medium,M,2,5467,0,0.012820511998685127,683.375,9,2,4,5.056245805348308,8.60666819784384,Medium,Neutral
A,Ship,3,3,251,2,low,M,3,5168,0,0.011952190758876862,1722.6666666666667,9,1,3,5.529429087511423,8.550434525196039,Medium,Neutral
F,Ship,4,1,260,2,low,F,1,5001,1,0.0038461536982248583,1667.0,4,1,1,5.564520407322694,8.517593111437565,Medium,Bad
B,Ship,3,1,241,2,low,M,8,5602,1,0.03319501936950127,1867.3333333333333,3,1,8,5.488937726156687,8.631057447565285,Medium,Bad
A,Ship,5,2,176,3,low,M,9,5656,0,0.05113636073088859,1414.0,10,1,9,5.176149732573829,8.640648995343156,High,Bad
C,Ship,4,2,181,3,medium,M,6,5964,0,0.03314916943927241,1491.0,8,2,12,5.204006687076795,8.693664334532016,Medium,Bad
C,Ship,5,3,235,2,medium,F,12,3358,1,0.05106382761430521,1119.3333333333333,15,2,24,5.4638318050256105,8.119398589612294,High,Neutral
F,Ship,3,5,245,4,low,M,8,5600,0,0.03265305989171184,1120.0,15,1,8,5.5053315359323625,8.630700432209832,Medium,Good
F,Flight,2,4,274,10,high,M,3,4167,1,0.01094890470989399,378.8181818181818,8,3,9,5.616771097666572,8.335191583433202,Low,Neutral
F,Ship,4,2,232,5,medium,F,3,1500,0,0.012931033925386469,250.0,8,2,6,5.4510384535657,7.313886831633462,Medium,Bad
F,Flight,3,4,181,3,low,M,10,5276,1,0.05524861573212068,1319.0,12,1,10,5.204006687076795,8.571113033405668,Medium,Neutral
B,Ship,5,1,256,4,medium,F,5,4970,1,0.01953124923706058,994.0,5,2,10,5.54907608489522,8.511376306094673,High,Bad
F,Ship,3,4,176,3,medium,M,4,5623,0,0.022727271435950488,1405.75,12,2,8,5.176149732573829,8.6347984334905,Medium,Neutral
F,Road,4,1,206,3,low,F,4,4745,0,0.019417474785559476,1186.25,4,1,4,5.332718793265369,8.465057436995709,Medium,Bad
A,Flight,4,1,150,3,low,F,10,4470,0,0.06666666222222252,1117.5,4,1,10,5.017279836814924,8.405367376233981,Medium,Bad
F,Ship,3,5,253,3,medium,M,9,5979,1,0.03557312112359205,1494.75,15,2,18,5.537334267018537,8.696175846944678,Medium,Good
A,Road,3,1,149,3,medium,F,9,5952,1,0.060402680509887216,1488.0,3,2,18,5.0106352940962555,8.69165057315339,Medium,Bad
F,Ship,3,3,209,3,high,F,2,4036,1,0.009569377532565667,1009.0,9,3,6,5.3471075307174685,8.30325712085294,Medium,Neutral
B,Ship,4,3,233,5,low,M,5,1799,1,0.02145922654681431,299.8333333333333,12,1,5,5.455321115357702,7.495541943884256,Medium,Neutral
D,Ship,3,1,247,4,low,F,8,5376,1,0.03238866265632945,1075.2,3,1,8,5.5134287461649825,8.589885876809678,Medium,Bad
D,Ship,3,2,204,3,low,F,8,4586,1,0.039215684352172334,1146.5,6,1,8,5.3230099791384085,8.430981494597171,Medium,Bad
C,Flight,6,2,152,2,low,F,9,1993,0,0.059210522420360366,664.3333333333334,12,1,9,5.030437921392435,7.597897950521784,High,Bad
B,Ship,4,5,189,2,medium,M,6,5439,1,0.031746030066347616,1813.0,20,2,12,5.247024072160486,8.601534339849989,Medium,Good
F,Road,4,3,139,3,low,F,1,4986,0,0.007194244086745029,1246.5,12,1,1,4.941642422609304,8.514589805546123,Medium,Neutral
F,Flight,3,3,168,4,low,F,2,4541,1,0.011904761196145166,908.2,9,1,2,5.1298987149230735,8.421122722665503,Medium,Neutral
C,Ship,5,2,237,5,medium,M,6,1084,0,0.025316454627997694,180.66666666666666,10,2,12,5.472270673671475,6.98933526597456,High,Bad
B,Ship,7,3,306,4,low,M,2,1790,1,0.006535947498825245,358.0,21,1,2,5.726847747587197,7.490529402060711,High,Neutral
B,Road,4,5,265,3,medium,F,41,3101,1,0.15471697529369907,775.25,20,2,82,5.583496308781699,8.039802343736485,Medium,Good
F,Ship,4,5,174,2,low,M,10,5764,0,0.05747126106487005,1921.3333333333333,20,1,10,5.1647859739235145,8.65956043270316,Medium,Good
F,Ship,3,2,159,2,medium,F,3,4876,0,0.01886792334164004,1625.3333333333333,6,2,6,5.075173815233827,8.492285555710053,Medium,Bad
C,Ship,3,1,225,3,medium,M,2,4284,0,0.008888888493827178,1071.0,3,2,4,5.420534999272286,8.36287583103188,Medium,Bad
F,Ship,5,1,224,2,low,F,14,2959,1,0.06249999720982155,986.3333333333334,5,1,14,5.41610040220442,7.992944547318106,High,Bad
C,Road,2,1,113,5,low,F,9,1957,1,0.07964601065079552,326.1666666666667,2,1,9,4.736198448394496,7.579678823090456,Low,Bad
C,Ship,4,4,241,3,low,F,8,5206,1,0.03319501936950127,1301.5,16,1,8,5.488937726156687,8.557759153162898,Medium,Neutral
A,Flight,5,1,271,5,low,M,4,1353,0,0.014760147056821143,225.5,5,1,4,5.605802066295998,7.21081845347222,High,Bad
C,Ship,5,4,151,4,medium,M,10,1441,1,0.06622516117714164,288.2,20,2,20,5.0238805208462765,7.273786317844895,High,Neutral
F,Ship,3,5,241,3,low,F,4,4132,0,0.016597509684750635,1033.0,15,1,4,5.488937726156687,8.326758814511733,Medium,Good
A,Ship,4,2,271,3,medium,F,4,5902,0,0.014760147056821143,1475.5,8,2,8,5.605802066295998,8.683215975240689,Medium,Bad
C,Ship,6,1,289,5,medium,M,7,1223,0,0.024221452449084694,203.83333333333334,6,2,14,5.66988092298052,7.1098794630722715,High,Bad
A,Ship,4,2,137,2,medium,F,2,5804,1,0.014598539080398607,1934.6666666666667,8,2,4,4.927253685157205,8.666474894131992,Medium,Bad
D,Road,3,1,224,3,low,F,48,3672,1,0.21428570471938818,918.0,3,1,48,5.41610040220442,8.208764045819667,Medium,Bad
C,Ship,4,3,231,3,medium,M,8,4991,0,0.03463203313281242,1247.75,12,2,16,5.44673737166631,8.515591910049263,Medium,Neutral
B,Ship,5,3,174,5,medium,M,47,1909,1,0.27011492700488926,318.1666666666667,15,2,94,5.1647859739235145,7.554858521040676,High,Neutral
D,Ship,3,5,260,2,medium,M,1,5970,0,0.0038461536982248583,1990.0,15,2,2,5.564520407322694,8.694669696546992,Medium,Good
D,Ship,5,2,146,7,low,M,7,5204,0,0.047945202195534095,650.5,10,1,7,4.990432586778736,8.557374981049069,High,Bad
A,Ship,3,2,141,4,low,M,9,1909,1,0.06382978270710761,381.8,6,1,9,4.955827057601261,7.554858521040676,Medium,Bad
F,Ship,3,5,164,3,medium,F,43,1423,1,0.26219510596371304,355.75,15,2,86,5.10594547390058,7.261225091971921,Medium,Good
F,Road,4,5,216,3,medium,F,7,5891,0,0.03240740590706454,1472.75,20,2,14,5.37989735354046,8.681350777582521,Medium,Good
D,Ship,4,2,238,3,low,F,28,1915,1,0.11764705388037588,478.75,8,1,28,5.476463551931511,7.557994958530806,Medium,Bad
A,Flight,2,2,237,5,low,M,8,4461,0,0.03375527283733026,743.5,4,1,8,5.472270673671475,8.403352374992478,Low,Bad
A,Flight,5,2,184,4,low,M,6,4155,1,0.03260869387996229,831.0,10,1,6,5.220355825078324,8.332308352219117,High,Bad
B,Ship,5,3,192,3,medium,F,6,4037,1,0.031249998372395917,1009.25,15,2,12,5.262690188904886,8.303504798872783,High,Neutral
F,Flight,2,2,155,3,low,M,1,5154,0,0.006451612486992743,1288.5,4,1,1,5.049856007249537,8.54772239645106,Low,Bad
B,Ship,2,5,140,4,high,F,2,4636,1,0.014285713265306196,927.2,10,3,6,4.948759890378168,8.441822884391462,Low,Good
C,Ship,4,2,192,3,low,F,3,4130,1,0.015624999186197959,1032.5,8,1,3,5.262690188904886,8.326274787396764,Medium,Bad
F,Ship,4,5,261,2,medium,M,6,5920,0,0.02298850486634081,1973.3333333333333,20,2,12,5.568344503761097,8.686260632531775,Medium,Good
F,Road,3,5,226,2,medium,M,3,4208,1,0.013274335695825853,1402.6666666666667,15,2,6,5.424950017481403,8.344980368770571,Medium,Good
A,Ship,4,5,261,3,high,F,2,4954,1,0.007662834955446937,1238.5,20,3,6,5.568344503761097,8.508152446764088,Medium,Good
A,Ship,5,5,148,4,medium,F,4,5909,0,0.027027025200876676,1181.8,25,2,8,5.003946305945459,8.684401110400144,High,Good
C,Ship,4,2,191,3,high,M,3,2353,1,0.01570680546037668,588.25,8,3,9,5.2574953720277815,7.763871287820222,Medium,Bad
A,Ship,4,2,235,6,low,M,6,1386,0,0.025531913807152605,198.0,8,1,6,5.4638318050256105,7.234898420314831,Medium,Bad
F,Ship,4,1,191,3,high,F,6,5335,1,0.03141361092075336,1333.75,4,3,18,5.2574953720277815,8.58223158759546,Medium,Bad
F,Ship,4,1,208,3,medium,F,8,4890,1,0.03846153661242612,1222.5,4,2,16,5.342334251964811,8.495152060539358,Medium,Bad
F,Ship,2,3,216,3,high,M,9,4032,1,0.04166666473765441,1008.0,6,3,27,5.37989735354046,8.302265794873367,Low,Neutral
B,Ship,3,3,246,3,medium,F,45,3945,1,0.18292682183224301,986.25,9,2,90,5.5093883366279774,8.28045768658256,Medium,Neutral
B,Ship,3,3,110,3,low,M,7,1235,1,0.0636363578512402,308.75,9,1,7,4.709530201312334,7.119635638017636,Medium,Neutral
C,Road,3,1,254,4,medium,M,9,4571,0,0.03543306947113899,914.2,3,2,18,5.541263545158426,8.427706024914702,Medium,Bad
F,Road,6,5,130,6,low,F,60,1971,1,0.46153842603550566,281.57142857142856,30,1,60,4.875197323201151,7.586803535162581,High,Good
F,Ship,4,5,222,2,medium,M,2,4425,0,0.00900900860319781,1475.0,20,2,4,5.407171771460119,8.395251520610994,Medium,Good
B,Ship,3,5,208,3,low,F,41,3977,1,0.19711537513868388,994.25,15,1,41,5.342334251964811,8.288534459413917,Medium,Good
F,Ship,4,2,189,3,medium,M,6,3671,1,0.031746030066347616,917.75,8,2,12,5.247024072160486,8.20849175174038,Medium,Bad
C,Ship,3,1,142,4,low,M,4,1583,1,0.028169012100773796,316.6,3,1,4,4.962844630259907,7.367708572374371,Medium,Bad
C,Ship,4,5,258,3,low,F,3,5422,1,0.011627906526050136,1355.5,20,1,3,5.556828061699537,8.59840444684106,Medium,Good
D,Ship,7,5,253,4,low,F,6,1344,1,0.0237154140823947,268.8,35,1,6,5.537334267018537,7.20414929203594,High,Good
D,Ship,3,1,180,3,low,M,52,1838,1,0.28888887283950704,459.5,3,1,52,5.198497031265826,7.516977224604321,Medium,Bad
B,Flight,3,3,142,3,medium,M,23,1897,1,0.1619718195794493,474.25,9,2,46,4.962844630259907,7.5485559791698735,Medium,Neutral
F,Ship,6,2,247,4,low,F,3,1752,0,0.012145748496123543,350.4,12,1,3,5.5134287461649825,7.469083884921234,High,Bad
F,Ship,6,2,293,6,low,F,10,1919,1,0.03412969166792861,274.14285714285717,12,1,10,5.683579767338681,7.560080465021827,High,Bad
C,Ship,4,2,258,3,medium,F,9,4977,1,0.03488371957815041,1244.25,8,2,18,5.556828061699537,8.512783482927537,Medium,Bad
B,Ship,3,3,132,2,medium,F,8,5810,1,0.060606056014692725,1936.6666666666667,9,2,16,4.890349128221754,8.667507952075105,Medium,Neutral
